SeriesId,ApiId,SeriesName,Link
"1","31339","A Discovery of Witches",""
"2","3182","American Gods",""
"3","919","Attack on Titan",""
"4","22084","Ben 10",""
"5","21142","Big Hero 6 The Series",""
"6","20683","Black Lightning",""
"7","57","Blackish",""
"8","49","Brooklyn Nine-Nine",""
"9","25414","Castle Rock",""
"10","25242","Castlevania",""
"11","25110","Condor",""
"12","1851","Dcs Legends of Tomorrow",""
"13","210","Doctor Who",""
"14","1824","Fear The Walking Dead",""
"15","23314","Final Space",""
"16","28366","Grown-ish",""
"17","11918","Kong King of the Apes",""
"18","41","Last Man Standing",""
"19","8898","Lost in Space",""
"20","1859","Lucifer",""
"21","5511","MacGyver",""
"22","32819","Magnum P I",""
"23","31365","Manifest",""
"24","324","Masterchef",""
"25","3160","MasterChef Australia",""
"26","417","MasterChef Junior",""
"27","590","Pokemon",""
"28","216","Rick and Morty",""
"29","34300","Rise of the Teenage Mutant Ninja Turtles",""
"30","5262","Riverdale",""
"31","335","Sherlock",""
"32","21928","Spider-Man",""
"33","713","SpongeBob SquarePants",""
"34","7480","Star Trek Discovery",""
"35","2993","Stranger things",""
"36","17862","Stretch Armstrong and the Flex Fighters",""
"37","1850","Supergirl",""
"38","19","Supernatural",""
"39","36449","The Epic Tales of Captain Underpants",""
"40","13","The Flash",""
"41","17078","The Grand Tour",""
"42","35839","The Neighborhood",""
"43","20263","The Orville",""
"44","32938","The Rookie",""
"45","4296","The Tom and Jerry Show",""
"46","73","The Walking Dead",""
"47","1878","Thunderbirds are go",""
"48","27557","Titans",""
"49","38387","Transformers Cyberverse",""
"50","7523","Van Helsing",""
"51","1371","Westworld",""
"52","689","Young Justice",""
"53","26020","Young Sheldon",""
"54","36745","Doom Patrol",""
"55","20651","Warrior",""
"56","33631","Blood & Treasure",""
"57","37675","The Dragon Prince",""
"58","22904","Killing Eve",""
"59","36218","The Order",""
"60","706","Teen Titans Go!",""
"61","305","Black Mirror",""
"62","374","Inside No. 9",""
"63","36845","Scooby-Doo and Guess Who?",""
"64","15299","The Boys",""
"65","36774","Pennyworth",""
"66","42424","Two Sentence Horror Stories",""
"67","19621","DuckTales",""
"68","27346","Carmen Sandiego",""
"69","28120","Carnival Row",""
"70","35236","Undone",""
"71","41363","The Last Kids on Earth",""
"72","38635","Prodigal Son",""
"73","42167","Bob ? Abishola",""
"74","42065","mixed-ish",""
"75","40357","Evil",""
"76","42166","The Unicorn",""
"77","37776","Batwoman",""
"78","42107","Nancy Drew",""
"79","30960","Cobra Kai",""
"80","34345","See",""
"81","7626","His Dark Materials",""
"82","5079","Tom Clancy's Jack Ryan",""
"83","41144","Green Eggs and Ham",""
"84","42183","LEGO City Adventures",""
"85","38963","The Mandalorian",""
"86","18374","LEGO Ninjago: Masters of Spinjitzu",""
"87","34451","Trolls: The Beat Goes On!",""
"88","43787","DreamWorks Dragons: Rescue Riders",""
"89","44598","Legend Quest: Masters of Myth",""
"90","33452","Harley Quinn",""
"91","1825","The Expanse",""
"92","28426","Hotel Transylvania: The Series",""
"93","28276","The Witcher",""
"94","42592","Fast & Furious: Spy Racers",""
"95","6770","The Lion Guard",""
"96","618","Better Call Saul",""
"97","32518","Raising Dion",""
"98","40884","DC Super Hero Girls",""
"99","44236","Deathstroke: Knights & Dragons",""
"100","35073","The Owl House",""
